time,active_time,evaluations,iterations,nodes,step_size
13722,0,2837,3,35937,27
13749,0,2842,3,35937,27
13776,0,2847,3,35937,27
13803,0,2852,3,35937,27
13830,0,2857,3,35937,27
13857,0,2862,3,35937,27
13884,0,2867,3,35937,27
13911,0,2872,3,35937,27
13938,0,2877,3,35937,27
13965,0,2882,3,35937,27
13992,0,2887,3,35937,27
14019,0,2892,3,35937,27
14046,0,2897,3,35937,27
14073,0,2902,3,35937,27
14100,0,2907,3,35937,27
14127,0,2912,3,35937,27
14154,0,2917,3,35937,27
14181,0,2922,3,35937,27
14208,0,2927,3,35937,27
14235,0,2932,3,35937,27
14262,0,2937,3,35937,27
14289,0,2942,3,35937,27
14316,0,2947,3,35937,27
14343,0,2952,3,35937,27
14370,0,2957,3,35937,27
14397,0,2962,3,35937,27
14424,0,2967,3,35937,27
14451,0,2972,3,35937,27
14478,0,2977,3,35937,27
14505,0,2982,3,35937,27
14532,0,2987,3,35937,27
14559,0,2992,3,35937,27
14586,0,2997,3,35937,27
14613,0,3002,3,35937,27
14640,0,3007,3,35937,27
14667,0,3012,3,35937,27
14694,0,3017,3,35937,27
14721,0,3022,3,35937,27
14748,0,3027,3,35937,27
14775,0,3032,3,35937,27
14802,0,3037,3,35937,27
14829,0,3042,3,35937,27
14856,0,3047,3,35937,27
14883,0,3052,3,35937,27
14910,0,3057,3,35937,27
14937,0,3062,3,35937,27
14964,0,3067,3,35937,27
14991,0,3072,3,35937,27
15018,0,3077,3,35937,27
15045,0,3082,3,35937,27
15072,0,3087,3,35937,27
15099,0,3092,3,35937,27
15126,0,3097,3,35937,27
15153,0,3102,3,35937,27
15180,0,3107,3,35937,27
15207,0,3112,3,35937,27
15234,0,3117,3,35937,27
15261,0,3122,3,35937,27
15288,0,3127,3,35937,27
15315,0,3132,3,35937,27
15342,0,3137,3,35937,27
15369,0,3142,3,35937,27
15396,0,3147,3,35937,27
15423,0,3152,3,35937,27
15450,0,3157,3,35937,27
15477,0,3162,3,35937,27
15504,0,3167,3,35937,27
15531,0,3172,3,35937,27
15558,0,3177,3,35937,27
15585,0,3182,3,35937,27
15612,0,3187,3,35937,27
15639,0,3192,3,35937,27
15666,0,3197,3,35937,27
15693,0,3202,3,35937,27
15720,0,3207,3,35937,27
15747,0,3212,3,35937,27
15774,0,3217,3,35937,27
15801,0,3222,3,35937,27
15828,0,3227,3,35937,27
15855,0,3232,3,35937,27
15882,0,3237,3,35937,27
15909,0,3242,3,35937,27
15936,0,3247,3,35937,27
15963,0,3252,3,35937,27
15990,0,3257,3,35937,27
16017,0,3262,3,35937,27
16044,0,3267,3,35937,27
16071,0,3272,3,35937,27
16098,0,3277,3,35937,27
16125,0,3282,3,35937,27
16152,0,3287,3,35937,27
16179,0,3292,3,35937,27
16206,0,3297,3,35937,27
16233,0,3302,3,35937,27
16260,0,3307,3,35937,27
16287,0,3312,3,35937,27
16314,0,3317,3,35937,27
16341,0,3322,3,35937,27
16368,0,3327,3,35937,27
16395,0,3332,3,35937,27
16422,0,3337,3,35937,27
16449,0,3342,3,35937,27
16476,0,3347,3,35937,27
16503,0,3352,3,35937,27
16530,0,3357,3,35937,27
16557,0,3362,3,35937,27
16584,0,3367,3,35937,27
16611,0,3372,3,35937,27
16638,0,3377,3,35937,27
16665,0,3382,3,35937,27
16692,0,3387,3,35937,27
16719,0,3392,3,35937,27
16746,0,3397,3,35937,27
16773,0,3402,3,35937,27
16800,0,3407,3,35937,27
16827,0,3412,3,35937,27
16854,0,3417,3,35937,27
16881,0,3422,3,35937,27
16908,0,3427,3,35937,27
16935,0,3432,3,35937,27
16962,0,3437,3,35937,27
16989,0,3442,3,35937,27
17016,0,3447,3,35937,27
17043,0,3452,3,35937,27
17070,0,3457,3,35937,27
17097,0,3462,3,35937,27
17124,0,3467,3,35937,27
17151,0,3472,3,35937,27
17178,0,3477,3,35937,27
17205,0,3482,3,35937,27
17232,0,3487,3,35937,27
17259,0,3492,3,35937,27
17286,0,3497,3,35937,27
17313,0,3502,3,35937,27
17340,0,3507,3,35937,27
17367,0,3512,3,35937,27
17394,0,3517,3,35937,27
17421,0,3522,3,35937,27
17448,0,3527,3,35937,27
17475,0,3532,3,35937,27
17502,0,3537,3,35937,27
17529,0,3542,3,35937,27
17556,0,3547,3,35937,27
17583,0,3552,3,35937,27
17610,0,3557,3,35937,27
17637,0,3562,3,35937,27
17664,0,3567,3,35937,27
17691,0,3572,3,35937,27
17718,0,3577,3,35937,27
17745,0,3582,3,35937,27
17772,0,3587,3,35937,27
17799,0,3592,3,35937,27
17826,0,3597,3,35937,27
17853,0,3602,3,35937,27
17880,0,3607,3,35937,27
17907,0,3612,3,35937,27
17934,0,3617,3,35937,27
17961,0,3622,3,35937,27
17988,0,3627,3,35937,27
18015,0,3632,3,35937,27
18042,0,3637,3,35937,27
18069,0,3642,3,35937,27
18096,0,3647,3,35937,27
18123,0,3652,3,35937,27
18150,0,3657,3,35937,27
18177,0,3662,3,35937,27
18204,0,3667,3,35937,27
18231,0,3672,3,35937,27
18258,0,3677,3,35937,27
18285,0,3682,3,35937,27
18312,0,3687,3,35937,27
18339,0,3692,3,35937,27
18366,0,3697,3,35937,27
18393,0,3702,3,35937,27
18420,0,3707,3,35937,27
18447,0,3712,3,35937,27
18474,0,3717,3,35937,27
18501,0,3722,3,35937,27
